node1,node2,length,startLoc,endLoc,startYear,endYear
13749,13750,0.896474610943613,other,other,1986.29869068493,1987.19516529588
13749,18613,0.182380000000002,other,other,1986.29869068493,1986.48107068493
18613,18614,2.83615,other,other,1986.48107068493,1989.31722068493
18613,18672,0.870161750254454,other,other,1986.48107068493,1987.35123243519
13750,13751,0.469652951480796,other,other,1987.19516529588,1987.66481824736
13750,18600,0.0077353890563856,other,other,1987.19516529588,1987.20290068493
18600,18601,4.78767,other,other,1987.20290068493,1991.99057068493
18600,18605,6.41252,other,other,1987.20290068493,1993.61542068493
18672,18673,0.261928249745544,other,other,1987.35123243519,1987.61316068493
18672,27483,0.0146782497455433,other,other,1987.35123243519,1987.36591068493
27483,27484,22.10202,other,other,1987.36591068493,2009.46793068493
27483,27487,4.22893,other,other,1987.36591068493,1991.59484068493
18673,4924,25.8799900000001,other,other,1987.61316068493,2013.49315068493
18673,18674,0.355899999999998,other,other,1987.61316068493,1987.96906068493
13751,13752,0.320102437575592,other,other,1987.66481824736,1987.98492068493
13751,18598,0.00924243757558685,other,other,1987.66481824736,1987.67406068493
18598,4848,34.5451173972603,other,poland,1987.67406068493,2022.21917808219
18598,18599,23.70513,other,other,1987.67406068493,2011.37919068493
18674,18675,6.51532,other,other,1987.96906068493,1994.48438068493
18674,18695,0.114064105419089,other,other,1987.96906068493,1988.08312479035
13752,13753,1.09269,other,other,1987.98492068493,1989.07761068493
13752,13871,0.260780518672505,other,other,1987.98492068493,1988.2457012036
18695,18696,0.0316158945809093,other,other,1988.08312479035,1988.11474068493
18695,18893,0.0316158945809093,other,other,1988.08312479035,1988.11474068493
18696,4946,27.3784100000001,other,other,1988.11474068493,2015.49315068493
18696,18697,0.839915999008255,other,other,1988.11474068493,1988.95465668394
18893,18894,1.1132,other,other,1988.11474068493,1989.22794068493
18893,19680,0.0999772617406407,other,other,1988.11474068493,1988.21471794667
19680,19681,0.0213027382593651,other,other,1988.21471794667,1988.23602068493
19680,19696,0.0213027382593651,other,other,1988.21471794667,1988.23602068493
19681,5931,30.2571300000001,other,other,1988.23602068493,2018.49315068493
19681,19682,0.195339999999995,other,other,1988.23602068493,1988.43136068493
19696,19697,1.6240172437055,other,other,1988.23602068493,1989.86003792864
19696,21366,0.0893180042823474,other,other,1988.23602068493,1988.32533868921
13871,13872,0.0200594813274932,other,other,1988.2457012036,1988.26576068493
13871,13875,0.0200594813274932,other,other,1988.2457012036,1988.26576068493
13872,120,30.2273900000001,other,other,1988.26576068493,2018.49315068493
13872,13873,11.36821,other,other,1988.26576068493,1999.63397068493
13875,13876,1.28208,other,other,1988.26576068493,1989.54784068493
13875,14032,0.205120000000001,other,other,1988.26576068493,1988.47088068493
21366,21367,0.105060794948429,other,other,1988.32533868921,1988.43039948416
21366,27480,0.0174719957176492,other,other,1988.32533868921,1988.34281068493
27480,13731,33.1503400000001,other,other,1988.34281068493,2021.49315068493
27480,27481,3.47698,other,other,1988.34281068493,1991.81979068493
21367,21368,0.126531200769222,other,other,1988.43039948416,1988.55693068493
21367,27208,0.0190112007692207,other,other,1988.43039948416,1988.44941068493
19682,19683,5.69223,other,other,1988.43136068493,1994.12359068493
19682,19689,1.03809,other,other,1988.43136068493,1989.46945068493
27208,27209,3.40024,other,other,1988.44941068493,1991.84965068493
27208,27210,1.2223,other,other,1988.44941068493,1989.67171068493
14032,14033,2.68302,other,other,1988.47088068493,1991.15390068493
14032,14044,0.143341246132231,other,other,1988.47088068493,1988.61422193106
21368,21369,4.95408,other,other,1988.55693068493,1993.51101068493
21368,21374,0.076900000000002,other,other,1988.55693068493,1988.63383068493
14044,14045,1.08409875386777,other,other,1988.61422193106,1989.69832068493
14044,18549,0.0303187538677676,other,other,1988.61422193106,1988.64454068493
21374,21375,2.74404999999999,other,other,1988.63383068493,1991.37788068493
21374,21388,0.0843053386040182,other,other,1988.63383068493,1988.71813602354
18549,18550,5.50347,other,other,1988.64454068493,1994.14801068493
18549,18568,0.143500000000003,other,other,1988.64454068493,1988.78804068493
21388,21389,0.056210225067268,other,other,1988.71813602354,1988.7743462486
21388,27176,0.00270466139598113,other,other,1988.71813602354,1988.72084068493
27176,13425,23.7736948341943,other,other,1988.72084068493,2012.49453551913
27176,27177,4.75756269417635,other,other,1988.72084068493,1993.47840337911
21389,21390,0.0916144363287117,other,other,1988.7743462486,1988.86596068493
